Dry Rob Roy,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",Alcoholic,Cocktail glass,"Scotch,Dry Vermouth,Lemon peel",https://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg
Dirty Nipple,This is a layered shot - the Bailey's must be on top,Alcoholic,Shot glass,"Kahlua,Sambuca,Baileys irish cream",https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg
Dirty Martini,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",Alcoholic,Cocktail glass,"Vodka,Dry Vermouth,Olive Brine,Lemon,Olive",https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg
Darkwood Sling,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",Alcoholic,Cocktail glass,"Cherry Heering,Soda water,Orange juice,Ice",https://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg
Dark and Stormy,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,Alcoholic,Highball glass,"Dark Rum,Ginger Beer",https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg
Dark Caipirinha,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",Alcoholic,Highball glass,"demerara Sugar,Lime,Cachaca",https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg
Duchamp's Punch,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",Alcoholic,Old-fashioned glass,"Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender",https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg
Damned if you do,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,Alcoholic,Shot glass,"Whiskey,Hot Damn",https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg
Dubonnet Cocktail,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Alcoholic,Cocktail glass,"Dubonnet Rouge,Gin,Bitters,Lemon peel",https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg
Drinking Chocolate,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",Non alcoholic,Coffee mug,"Heavy cream,Milk,Cinnamon,Vanilla,Chocolate,Whipped cream",https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg
Death in the Afternoon,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",Alcoholic,Margarita glass,"Absinthe,Champagne",https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg
Egg Cream,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",Non alcoholic,Coffee mug,"Chocolate syrup,Milk,Soda water",https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg
Egg Nog #4,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",Optional alcohol,Punch bowl,"Egg yolk,Sugar,Milk,Light rum,Bourbon,Vanilla extract,Salt,Whipping cream,Egg white,Sugar,Nutmeg",https://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg
English Highball,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",Alcoholic,Highball glass,"Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel",https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg
Espresso Martini,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",Alcoholic,Cocktail glass,"Vodka,Kahlua,Sugar syrup",https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg
Espresso Rumtini,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,Alcoholic,Cocktail glass,"Rum,Vanilla syrup,Espresso,Coffee",https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg
Egg Nog - Healthy,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",Optional alcohol,Collins Glass,"Egg,Sugar,Condensed milk,Milk,Vanilla extract,Rum,Nutmeg",https://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg
English Rose Cocktail,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,Alcoholic,Cocktail glass,"Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry",https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg
Elderflower Caipirinha,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,Alcoholic,Collins glass,"Cachaca,Lime,Elderflower cordial",https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg
